a,b,K,N,epsilon,Best x,Best f(x),Initial Population
-7,7,20,30,0.001,-0.0676127260242616,-0.17037852301502615,"['0100101010100011', '1010000010001110', '1101100000111011', '1001101111101001', '0111010100001010', '1000101100100101', '1000101100110110', '1010001110010100', '0101110011100000', '1010111001010111', '0110000010100001', '0010100101010010', '0001101111010010', '0001001101001111', '0010010110110101', '0001000000111000', '1001100010101110', '1100110111001101', '1100010110111111', '0100010111100101']"
-7,7,24,30,0.001,-0.0676127260242616,-0.17037852301502615,"['0101010110010111', '0011001010101000', '1100010001001110', '0101001011100110', '1000110110111101', '1111101101101001', '1010001011110101', '1110000010110101', '0011110111001001', '1010001110101010', '1101110110001000', '1110101111100101', '1011001000111110', '0101001000011100', '1110110110111111', '0000010000000100', '0001001111000101', '1001110001100111', '0001000010010110', '0101100100100011', '1001110100001000', '1111110010110001', '0111001001000110', '0111111100001100']"
-7,7,28,30,0.001,-0.0676127260242616,-0.17037852301502615,"['1000000010100000', '1111110000101101', '0110000100111011', '1111110110001101', '1110110010011111', '1101110010001011', '1111111000001101', '0100000101001100', '1011110010000000', '0010010010011010', '1000001010110001', '0011000110101111', '0000101011001101', '1000001011101011', '1001011011110101', '1000010011100111', '0100000011111001', '1101101001010100', '1010011000010001', '1110011010011100', '0110000000100000', '1100001010100101', '1101101000001111', '1011001011100011', '0100001010001010', '0111111110001110', '0010101110000001', '0000011001100010']"
-7,7,4,10,0.001,1.8998855573357751,83.89512633046049,"['0000111000100010', '0110100011101111', '1110111011101111', '0001011110011110']"
-7,7,8,10,0.001,-0.03898680094605922,-0.13962016316027284,"['0010100100011100', '1010101100001000', '0101110101100100', '0101000110011100', '0010101011110000', '1100010101001000', '0000001100111110', '1101000001111101']"
-7,7,12,10,0.001,-0.06462195773250912,-0.1700578312570978,"['1110100000010111', '0110110000100111', '1000101010011011', '0101000110111010', '0010011101000111', '1010010101111000', '0100001001111010', '1001011101100010', '1110110011100011', '0111000101000100', '1011001011001001', '0110111010101111']"
-7,7,16,10,0.001,-0.0676127260242616,-0.17037852301502615,"['1011111101110111', '0001100011001010', '1011101100100010', '0101110001001001', '1110000001001000', '0010001000100011', '0100001000111000', '1101110100110100', '0011001001010001', '0010001011111001', '0100011101111011', '1101010111111110', '1111101110101011', '0000001100000000', '1000011001111011', '1001111010110111']"
-7,7,20,10,0.001,-0.0680399786373691,-0.17036879943945296,"['0110101010010100', '1111110011000100', '0010100111101100', '0000000111101110', '1011000010100111', '1100000100100110', '0100011111000110', '1100011100100011', '1000010101011101', '1111001011001101', '1000001001111110', '0010111100101001', '1100111100000101', '1100000011100001', '0110100111100111', '0100010110110100', '0000001111000000', '0011001000001000', '1101101101111001', '1110001011100011']"
-7,7,24,10,0.001,-0.0676127260242616,-0.17037852301502615,"['0001111010011110', '0111101011110000', '0001001110000010', '0000101000111011', '0011101101100011', '1111110110000000', '1101110101100110', '0010010010111011', '1000110101000110', '0100111000110010', '1111001110000011', '1011101011000001', '0111110111001111', '0101110110011010', '1110011100101111', '1110011000100100', '0100100100011101', '1101101101111011', '0011010011100001', '0100000111111000', '1111110010000110', '1011101111111010', '0100000010100000', '0011001011100100']"
-7,7,28,10,0.001,-0.0676127260242616,-0.17037852301502615,"['0110000111001100', '1111111010011000', '0000001101111101', '1001111101001101', '0100100111101001', '1101001111011001', '0011000010010110', '0001101001111010', '1000111111100011', '0101001100101001', '0101001100001001', '0111000001100011', '0000111011100001', '0101111010000100', '1010000010001101', '1100001011100100', '0111001001111010', '0011100101001010', '0100001011101101', '1010101101010100', '0011110111001111', '0110100110011011', '1100111100101011', '0011100101111110', '0000110010001101', '1100011111010000', '1011011010011011', '0100000101000110']"
